Rank,Title,Author,Description
1,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Hardcover
2,Outlive: The Science and Art of Longevity,Peter Attia MD,Hardcover
3,Dog Man: Twenty Thousand Fleas Under the Sea: A Graphic Novel (Dog Man #11): From the Creator of Captain Underpants,Dav Pilkey,Hardcover
4,The Last Thing He Told Me: A Novel,Laura Dave,Paperback
5,The 48 Laws of Power,Robert Greene,Paperback
6,Lessons in Chemistry: A Novel,Bonnie Garmus,Hardcover
7,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,Paperback
8,"Meals She Eats: Empowering Advice, Relatable Stories, and Over 25 Recipes to Take Control of Your PCOS",Tom Sullivan,$20.41
9,The Return of the Gods,Jonathan Cahn,Hardcover
10,"Oh, the Places You'll Go!  ",Dr. Seuss,Hardcover
11,It Starts with Us: A Novel (2) (It Ends with Us),Colleen Hoover,Paperback
12,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,Paperback
13,It Ends with Us: A Novel (1),Colleen Hoover,Paperback
14,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Paperback
15,Verity,Colleen Hoover,Paperback
16,The Creative Act: A Way of Being,Rick Rubin,Hardcover
17,Things We Never Got Over (Knockemout),Lucy Score,Paperback
18,Daisy Jones & The Six: A Novel,Taylor Jenkins Reid,Paperback
19,The Very Hungry Caterpillar,Eric Carle,Board book
20,The Housemaid,Freida McFadden,Paperback
21,I Love You to the Moon and Back,Amelia Hepworth,Board book
22,Hello Beautiful (Oprah's Book Club): A Novel,Ann Napolitano,Hardcover
23,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Board book
24,Tiny Beautiful Things (10th Anniversary Edition): Advice from Dear Sugar,Cheryl Strayed,Paperback
25,Built to Move: The Ten Essential Habits to Help You Move Freely and Live Fully,Kelly Starrett,Hardcover
26,The Secrets to Deliverance: Defeat the Toughest Cases of Demonic Bondage,Alexander Pagani,Paperback
27,The Wisdom of the Bullfrog: Leadership Made Simple (But Not Easy),Admiral William H. McRaven,Hardcover
28,"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",Sarah J. Maas,Paperback
29,Truly Simple: 140 Healthy Recipes for Weekday Cooking,Kristin Cavallari,Hardcover
30,Things I Wish I Told My Mother: The Most Emotional Mother-Daughter Novel in Years,Susan Patterson,Hardcover
